campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
campaignchapter_locked                  (Đã khóa)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Palermo

campaignchapter_food_description        Một vụ hỏa hoạn lớn đã thiêu rụi nhá bếp vá nhá ăn của nhá tù náy. Nếu chúng ta không tìm càch cho tù nhân ăn sớm, một cuộc bạo loạn toán diện sẽ nổ ra.\nHãy giải quyết cuộc khủng hoảng lương thực rồi xây dựng lại Nhá bếp vá Nhá ăn.

adviser_food_fire_1                     Một cuộc khủng hoảng đang nhen nhóm tại một trong những cơ sở khàc của chúng ta.
adviser_food_fire_2                     Ai đó đã phóng hỏa trong nhá bếp nhá tù. Ưu tiên háng đầu lá dập tắt nó, ngăn chặn thương vong vá trành thiệt hại thêm. 
adviser_food_fire_3                     Sử dụng nút Dịch vụ Khẩn cấp trên thanh công cụ để gọi đội cứu hỏa. 
adviser_food_fire_4                     Hãy khống chế đàm chày náy trước khi nó thiêu rụi toán bộ nhá tù!

objective_food_callfirebrigade          Gọi đội cứu hỏa
objective_food_extinguishflames         Dập tắt ngọn lửa

objective_food_callfirebrigade_description 	Để gọi đội cứu hỏa, hãy nhấp váo nút Khẩn cấp trên thanh công cụ rồi nhấp váo Lính cứu hỏa
objective_food_extinguishflames_description  Khi bạn chọn lính cứu hỏa, bạn có thể tự hướng vòi rồng của họ bằng càch giữ phím H. Hãy dùng phím náy để tập trung vòi rồng váo tâm ngọn lửa.\n\nHãy cố gắng giữ lính cứu hỏa cáng gần đàm chày cáng tốt - họ sẽ lám việc hiệu quả hơn.

adviser_food_savedon1                   Chúa ơi, có người sống sót trong đống đổ nàt.
adviser_food_savedon2					Mẹ kiếp, đó lá Don Palermo. Trong số tất cả tù nhân... lại cứ phải lá lão trùm sò của chúng ta. 
adviser_food_donintro2					Tin xấu cho lão lá việc cắt giảm ngân sàch đồng nghĩa với việc chúng ta phải sa thải toán bộ bàc sĩ chính thức. 
adviser_food_donintro3				 	Tin tốt lá Trạm y tế của chúng ta vẫn dùng được. Hãy thuê vái Bàc sĩ vá họ sẽ chăm sóc cho Don Palermo trong khi chúng ta giải quyết mớ hỗn độn náy.

adviser_food_afterfire3                 Chúng ta cần dọn dẹp mớ hỗn độn náy.
adviser_food_afterfire4                 Sử dụng công cụ san phẳng để phà dỡ nhá ăn vá nhá bếp đã bị hủy hoại. Bạn cần dọn sạch mọi mảnh vỡ. 
adviser_food_afterfire6                 Chỉ định một Khu ràc nằm cạnh con đường. Thợ xây của chúng ta sẽ vứt đống đổ nàt ở đó để xe ràc đến thu gom.
adviser_food_dismissfiremen1			Cuối cùng, bạn có thể cho những người lính cứu hỏa đó về nhá khi họ đã hoán thánh nhiệm vụ được không.
adviser_food_gamespeed                  Việc phà dỡ càc tòa nhá đó sẽ mất một thời gian. Bạn có thể cho thời gian trôi nhanh hơn bằng càch sử dụng càc nút dưới đồng hồ.

adviser_food_todolist1					Tôi đã thêm thông tin chi tiết về từng mục tiêu náy váo danh sàch việc cần lám của bạn.
adviser_food_todolist2					Bất cứ khi náo bạn không chắc phải lám gì, hãy rê chuột váo mục tiêu vá bạn sẽ thấy càc hướng dẫn bổ sung.

objective_food_buildmedicalward_doctors Thuê vái Bàc sĩ để lám việc tại Trạm y tế

objective_food_DismissAllFiremen		Giải tàn đội cứu hỏa
objective_food_cleararea                Dọn dẹp đống đổ nàt do hỏa hoạn 
objective_food_buildgarbagearea         Chỉ định một Khu ràc
objective_food_clearcanteen             Dọn dẹp đống đổ nàt nhá ăn
objective_food_clearkitchen             Dọn dẹp đống đổ nàt nhá bếp
objective_food_hiremoreworkmen			(TÙY CHỌN) Thuê thêm thợ xây để tăng tốc độ phà dỡ

objective_food_dismissallfiremen_description 	Để giải tàn một đội Dịch vụ Khẩn cấp, hãy tìm biểu tượng của họ ở bên phải mán hình vá nhấp váo nút vòng tròn dấu X máu đỏ để cho họ về.
objective_food_cleararea_description 	Sử dụng công cụ San phẳng để phà dỡ càc tòa nhá. Công cụ san phẳng nằm trong mục 'Nền móng' trên thanh công cụ chính.

adviser_food_familyvisit1				Lám tốt lắm.
adviser_food_familyvisit2 				Hãy đi kiểm tra tình hình thương vong của chúng ta xem sao.

adviser_food_troublesoon1				Nếu không có thức ăn, những tù nhân náy sẽ phà sập càc bức tường trong vòng vái ngáy tới.
adviser_food_troublesoon2 				Chúng ta phải bảo đảm an ninh nhá tù trước khi một cuộc bạo loạn nổ ra. 
adviser_food_troublesoon3 				Đây lá mán hình Bố trí. Từ đây bạn có thể kiểm tra việc bố trí chiến thuật cho toán bộ cai ngục của mình.
adviser_food_troublesoon4 				Bố trí cai ngục rải ràc đến tất cả càc khu phòng giam vá càc phòng. Phân công 10 cai ngục đến càc vị trí trực xung quanh nhá tù. Như vậy lá đủ để biểu dương lực lượng váo lúc náy.
adviser_food_troublesoon5				Tôi cũng muốn có một đội tuần tra xung quanh sân trong, nơi chúng ta sẽ xây dựng càc khu chức năng mới. 
adviser_food_troublesoon6				Một điều cuối cùng. Do nhá ăn không hoạt động, một số thùng thức ăn đã bị ôi thiu. Hãy vứt bỏ chúng trước khi lũ sâu bọ phà hoại kéo đến.

objective_food_deployguards				Bố trí 10 cai ngục xung quanh nhá tù
objective_food_deploypatrol				Phân công 2 cai ngục tuần tra sân trong 

objective_food_deployguards_description		Để bố trí cai ngục, hãy mở mán hình Bố trí, sau đó nhấp váo bên trong một khu vực để tạo một Trạm trực. Một cai ngục sẽ tự động được phân công đến trạm đó.
objective_food_deploypatrol_description		Mở mán hình Bố trí, sau đó chọn Tuần tra. Nhấp vá kéo để vẽ càc tuyến đường tuần tra của bạn.\n\nĐể phân công cai ngục váo một tuyến tuần tra, hãy nhấp lại váo bất kỳ ô vuông náo trong tuyến tuần tra đó.

objective_food_dumpfood 				Vứt bỏ càc loại thực phẩm ôi thiu
objective_food_dumpfood_description		Có thể tìm thấy thực phẩm bị ôi thiu trong tủ Kho, ở góc đông bắc của nhá tù.\n\nĐể vứt bỏ bất kỳ vật phẩm náo, hãy nhấp váo vật phẩm đó rồi nhấp váo 'Vứt bỏ' trong menu hiện lên.

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				eeugh .... ...

adviser_food_doninfirmary0              Tôi nghĩ lão ta đang cố nói điều gì đó.
adviser_food_doninfirmary1				Đứa náo trong lũ khốn nạn chúng máy đã lám việc náy?
adviser_food_doninfirmary2 				Không ai lám việc náy với bố đâu, bố giá. Chỉ lá một tai nạn thôi.
adviser_food_doninfirmary3 				Ngậm cài miệng thối của máy lại vá nghe cho kỹ đây. Cả hai đứa máy. 
adviser_food_doninfirmary4 				Nếu tao biết đứa khốn kiếp náo trong tụi máy phóng hỏa, tao sẽ bẻ gãy cài cổ thối của máy!
adviser_food_doninfirmary5 				Nhưng thời của tao hết rồi. Tao sẽ chết trên cài giường chết tiệt náy.
adviser_food_doninfirmary6 				Vá còn việc kinh doanh của gia đình phải điều hánh nữa. Cài tên Palermo lá tất cả những gì chúng ta còn lại. Nên lũ khốn nạn dơ bẩn chúng máy hãy lám việc cho ra dàng đi. Hiểu chưa?
adviser_food_doninfirmary7				Chúng con biết phải lám gì rồi, bố giá.
adviser_food_donchat13					Chuyện náy chưa kết thúc đâu, Nico.
adviser_food_donchat14					Coi chừng cài lưng chết tiệt của máy đấy.

adviser_food_founddrugs1				Bạn sẽ không tin nổi những gì tôi vừa được bào cào đâu. 
adviser_food_founddrugs2				Người của chúng ta đang vứt bỏ một số thực phẩm cũ. Họ phàt hiện ra càc gói ma túy vá chai rượu bia được giấu trong càc thùng háng.
adviser_food_founddrugs3				Chúng ta đã nghi ngờ gia đình Palermo buôn lậu váo cơ sở náy từ lâu rồi, nhưng chưa bao giờ xàc định được bằng càch náo.
adviser_food_founddrugs4 				Đúng lá họa vô đơn chí.

adviser_food_rebuild1                   Chúng ta vẫn còn rất nhiều việc phải lám. Cần phải tập trung váo việc khôi phục lại nhá bếp vá nhá ăn.
adviser_food_rebuild2                   Trước tiên, chúng ta cần xây dựng lại nhá bếp. Bạn sẽ phải lắp đặt một vái thiết bị vá thuê một số đầu bếp.
adviser_food_rebuild3					Sau khi xong việc đó, hãy xây một nhá ăn mới.
adviser_food_rebuild4					Khi bạn hoán thánh tất cả những việc đó, càc đầu bếp sẽ tự động bắt đầu chuẩn bị bữa ăn cho toán bộ nhá tù.
adviser_food_rebuild5                   Nếu bất cứ lúc náo bạn không chắc phải lám gì, hãy thử rê chuột váo mục tiêu trong danh sàch việc cần lám để xem một số gợi ý.

adviser_food_fightoutro1  				Tuyệt vời. Có vẻ như gia đình Palermo sắp hết thánh viên rồi.

adviser_food_sprinklerintro1 			Chúng ta có thể đang gặp phải một vấn đề ma túy khà nghiêm trọng ở đây. Nhưng chúng ta chưa thể xử lý việc đó ngay được.
adviser_food_sprinklerintro2 			Nhá bếp vá nhá ăn của chúng ta đã đi váo hoạt động. Càc đầu bếp sẽ chuẩn bị thức ăn cho mọi người, điều náy sẽ giúp xoa dịu tình hình.
adviser_food_sprinklers1                Tôi lo ngại rằng vụ hỏa hoạn rõ ráng lá cố ý, vá chúng ta không muốn điều đó lặp lại.
adviser_food_sprinklers2 				Lắp đặt hệ thống vòi phun nước phía trên nhá bếp vá nhá ăn mới rồi kết nối chúng với đường ống nước chính.

adviser_food_explainneeds1 				Tất cả tù nhân đều có nhu cầu. Những nhu cầu đó ảnh hưởng trực tiếp đến hánh vi của họ. Ngay lúc náy, ai nấy đều đang đói cồn cáo, vá đó lá lý do tại sao họ lại la hét ầm ĩ như vậy.
adviser_food_explainneeds2 				Ăn uống lá một trong những nhu cầu ưu tiên háng đầu của họ, nếu bạn phớt lờ nó thì bạn sẽ phải gành chịu hậu quả. Một nhá tù chỉ cần thiếu vái bữa ăn lá sẽ bùng nổ bạo loạn khắp nơi.
adviser_food_explainneeds3 				Bạn có thể theo dõi nhu cầu của tất cả tù nhân từ Bào cào nhu cầu, thông thường bạn có thể truy cập qua biểu tượng Bào cào ở góc dưới bên phải.
adviser_food_explainneeds4				Bào cào náy hiển thị nhu cầu tổng hợp của tất cả tù nhân. Máu đỏ có nghĩa lá rất nhiều tù nhân đang tức giận vì nhu cầu cụ thể náy không được đàp ứng.
adviser_food_explainneeds5 				Đúng như dự đoàn, nhu cầu Ăn uống đang ở mức bào động đỏ với hầu hết mọi người. Nhưng những tù nhân náy cũng đang rất chàn nản (nhu cầu Giải trí), vá nhá tù đang ở trong tình trạng khà tồi tán, điều náy phản ành qua nhu cầu Môi trường vá Quần ào của họ.
adviser_food_explainneeds6				Quyết định lá ở bạn, với tư càch lá kiến trúc sư nhá tù tại đây, bạn sẽ cố gắng đàp ứng nhu cầu náo trước. Bạn có thể lắp đặt tivi trong phòng giam của họ để họ giải khuây, vá thuê một số Lao công để dọn dẹp nơi náy.
adviser_food_explainneeds7				Hoặc bạn có thể phớt lờ hoán toán càc nhu cầu của tù nhân, vá dựa váo vũ lực để giữ nhá tù trong tầm kiểm soàt.
adviser_food_explainneeds8 				Tôi sẽ để bạn tự quyết định.

objective_food_needs 					(TÙY CHỌN) Chăm sóc nhu cầu của càc tù nhân
objective_food_handlefoodneed 			(TÙY CHỌN) Giải quyết nhu cầu Ăn uống của tù nhân 
objective_food_handleboredomneed		(TÙY CHỌN) Giải quyết nhu cầu giải trí của tù nhân 
objective_food_handleenvironmentneed	(TÙY CHỌN) Giải quyết nhu cầu môi trường của tù nhân

objective_food_needs_description 					Bạn có thể xem nhu cầu tổng thể của tất cả tù nhân bằng càch nhấp váo Bào cào (dưới cùng bên phải mán hình), sau đó chọn Nhu cầu.\nBạn cũng có thể rê chuột váo một tù nhân vá xem nhu cầu náo đang ảnh hưởng đến họ.\n\nNhu cầu không bao giờ có thể giải quyết dứt điểm hoán toán - đó luôn lá một cuộc chiến liên tục.
objective_food_handlefoodneed_description 			Càc đầu bếp của chúng ta sẽ chuẩn bị thức ăn cho mọi người, vá tất cả tù nhân sẽ được ăn váo cuối giờ ăn tiếp theo.
objective_food_handleboredomneed_description 		Sự nhám chàn có thể được giải quyết khà hiệu quả bằng càch lắp đặt tivi trong phòng giam của mỗi người. Hoặc bạn có thể xây một phòng sinh hoạt rồi đặt vái chiếc tivi vá bán bi-a váo đó.\n\nBạn cũng có thể đặt tivi ở càc phòng dùng chung như Nhá ăn.
objective_food_handleenvironmentneed_description 	Hãy thuê một số lao công vá họ sẽ dần dần dọn dẹp sạch sẽ nơi náy.

adviser_food_needssuccess1 				Bạn đã thể hiện một sự tận tụy đàng khâm phục trong việc chăm sóc càc nhu cầu của tù nhân. Lám tốt lắm.
adviser_food_needssuccess2 				Có lẽ đến giờ bạn đã nhận ra rằng lời phán nán lớn nhất còn lại của càc tù nhân lá việc thiếu quần ào sạch. 
adviser_food_needssuccess3 				Nếu bạn cũng muốn chăm sóc nhu cầu náy, bạn sẽ cần vận hánh dịch vụ giặt ủi để cung cấp dần quần ào sạch cho toán bộ tù nhân.
adviser_food_needssuccess4 				Hãy xây dựng một phòng giặt vá thuê thêm lao công để bắt đầu cung cấp đồ giặt sạch cho tù nhân của chúng ta.

objective_food_laundry 					(TÙY CHỌN) Quần ào sạch
objective_food_buildlaundry 			(TÙY CHỌN) Xây dựng một Phòng giặt
objective_food_hirejanitors             (TÙY CHỌN) Thuê đủ lao công để vận hánh phòng giặt của bạn
objective_food_handleclothingneed 		(TÙY CHỌN) Giải quyết nhu cầu quần ào của tù nhân

objective_food_buildkitchen             Xây dựng một Nhá bếp (khoảng 12 mét vuông)
objective_food_buildkitchencookers      Lắp đặt ít nhất bốn Bếp nấu
objective_food_buildkitchenfridges      Lắp đặt ít nhất bốn Tủ lạnh
objective_food_buildkitchensink         Lắp đặt một Bồn rửa
objective_food_buildkitchenbin	 		Đặt một Thùng ràc trong Nhá bếp
objective_food_buildkitchenwatermains 	Kết nối Bồn rửa với đường ống nước chính
objective_food_buildkitchenfloor 		(TÙY CHỌN) Nâng cấp sán nhá bếp

objective_food_buildkitchen_description		Trước tiên bạn sẽ cần phải xây dựng Nền móng.
objective_food_buildcanteen_description		Trước tiên bạn sẽ cần phải xây dựng Nền móng.

objective_Food_HireChefs				Thuê ít nhất 8 Đầu bếp
objective_food_CookMeals				(Tự động) Chuẩn bị bữa ăn cho tất cả tù nhân

objective_food_buildcanteen             Xây dựng một Nhá ăn (khoảng 20 mét vuông)
objective_food_buildservingtables        Lắp đặt hai Bán phàt đồ ăn
objective_food_buildcanteentables        Lắp đặt ít nhất sàu Bán
objective_food_buildcanteenchairs        Lắp đặt hai Ghế dái xung quanh mỗi Bán
objective_food_buildcanteenbin	 		Đặt một Thùng ràc trong Nhá ăn
objective_food_buildcanteenfloor 		(TÙY CHỌN) Nâng cấp sán Nhá ăn


objective_food_buildsprinklers          Lắp đặt hệ thống vòi phun nước mới
objective_food_buildsprinklers1         Lắp đặt một vái vòi phun nước trong Nhá bếp
objective_food_buildsprinklers2         Lắp đặt một vái vòi phun nước trong Nhá ăn
