campaigncutscene_tooltip 				(Nhấp để chuyển sang chương tiếp theo của câu chuyện)
campaignchapter_locked                  (Đã khóa)


# =============================================================================
# Food / Palermo
# =============================================================================

campaignchapter_food                    Palermo

campaignchapter_food_description        Một vụ hỏa hoạn lớn đã thiêu rụi nhà bếp và nhà ăn của nhà tù này. Nếu chúng ta không tìm cách cho tù nhân ăn sớm, một cuộc bạo loạn toàn diện sẽ nổ ra.\nHãy giải quyết cuộc khủng hoảng lương thực rồi xây dựng lại Nhà bếp và Nhà ăn.

adviser_food_fire_1                     Một cuộc khủng hoảng đang nhen nhóm tại một trong những cơ sở khác của chúng ta.
adviser_food_fire_2                     Ai đó đã phóng hỏa trong nhà bếp nhà tù. Ưu tiên hàng đầu là dập tắt nó, ngăn chặn thương vong và tránh thiệt hại thêm. 
adviser_food_fire_3                     Sử dụng nút Dịch vụ Khẩn cấp trên thanh công cụ để gọi đội cứu hỏa. 
adviser_food_fire_4                     Hãy khống chế đám cháy này trước khi nó thiêu rụi toàn bộ nhà tù!

objective_food_callfirebrigade          Gọi đội cứu hỏa
objective_food_extinguishflames         Dập tắt ngọn lửa

objective_food_callfirebrigade_description 	Để gọi đội cứu hỏa, hãy nhấp vào nút Khẩn cấp trên thanh công cụ rồi nhấp vào Lính cứu hỏa
objective_food_extinguishflames_description  Khi bạn chọn lính cứu hỏa, bạn có thể tự hướng vòi rồng của họ bằng cách giữ phím H. Hãy dùng phím này để tập trung vòi rồng vào tâm ngọn lửa.\n\nHãy cố gắng giữ lính cứu hỏa càng gần đám cháy càng tốt - họ sẽ làm việc hiệu quả hơn.

adviser_food_savedon1                   Chúa ơi, có người sống sót trong đống đổ nát.
adviser_food_savedon2					Mẹ kiếp, đó là Don Palermo. Trong số tất cả tù nhân... lại cứ phải là lão trùm sò của chúng ta. 
adviser_food_donintro2					Tin xấu cho lão là việc cắt giảm ngân sách đồng nghĩa với việc chúng ta phải sa thải toàn bộ bác sĩ chính thức. 
adviser_food_donintro3				 	Tin tốt là Trạm y tế của chúng ta vẫn dùng được. Hãy thuê vài Bác sĩ và họ sẽ chăm sóc cho Don Palermo trong khi chúng ta giải quyết mớ hỗn độn này.

adviser_food_afterfire3                 Chúng ta cần dọn dẹp mớ hỗn độn này.
adviser_food_afterfire4                 Sử dụng công cụ san phẳng để phá dỡ nhà ăn và nhà bếp đã bị hủy hoại. Bạn cần dọn sạch mọi mảnh vỡ. 
adviser_food_afterfire6                 Chỉ định một Khu rác nằm cạnh con đường. Thợ xây của chúng ta sẽ vứt đống đổ nát ở đó để xe rác đến thu gom.
adviser_food_dismissfiremen1			Cuối cùng, bạn có thể cho những người lính cứu hỏa đó về nhà khi họ đã hoàn thành nhiệm vụ được không.
adviser_food_gamespeed                  Việc phá dỡ các tòa nhà đó sẽ mất một thời gian. Bạn có thể cho thời gian trôi nhanh hơn bằng cách sử dụng các nút dưới đồng hồ.

adviser_food_todolist1					Tôi đã thêm thông tin chi tiết về từng mục tiêu này vào danh sách việc cần làm của bạn.
adviser_food_todolist2					Bất cứ khi nào bạn không chắc phải làm gì, hãy rê chuột vào mục tiêu và bạn sẽ thấy các hướng dẫn bổ sung.

objective_food_buildmedicalward_doctors Thuê vài Bác sĩ để làm việc tại Trạm y tế

objective_food_DismissAllFiremen		Giải tán đội cứu hỏa
objective_food_cleararea                Dọn dẹp đống đổ nát do hỏa hoạn 
objective_food_buildgarbagearea         Chỉ định một Khu rác
objective_food_clearcanteen             Dọn dẹp đống đổ nát nhà ăn
objective_food_clearkitchen             Dọn dẹp đống đổ nát nhà bếp
objective_food_hiremoreworkmen			(TÙY CHỌN) Thuê thêm thợ xây để tăng tốc độ phá dỡ

objective_food_dismissallfiremen_description 	Để giải tán một đội Dịch vụ Khẩn cấp, hãy tìm biểu tượng của họ ở bên phải màn hình và nhấp vào nút vòng tròn dấu X màu đỏ để cho họ về.
objective_food_cleararea_description 	Sử dụng công cụ San phẳng để phá dỡ các tòa nhà. Công cụ san phẳng nằm trong mục 'Nền móng' trên thanh công cụ chính.

adviser_food_familyvisit1				Làm tốt lắm.
adviser_food_familyvisit2 				Hãy đi kiểm tra tình hình thương vong của chúng ta xem sao.

adviser_food_troublesoon1				Nếu không có thức ăn, những tù nhân này sẽ phá sập các bức tường trong vòng vài ngày tới.
adviser_food_troublesoon2 				Chúng ta phải bảo đảm an ninh nhà tù trước khi một cuộc bạo loạn nổ ra. 
adviser_food_troublesoon3 				Đây là màn hình Bố trí. Từ đây bạn có thể kiểm tra việc bố trí chiến thuật cho toàn bộ cai ngục của mình.
adviser_food_troublesoon4 				Bố trí cai ngục rải rác đến tất cả các khu phòng giam và các phòng. Phân công 10 cai ngục đến các vị trí trực xung quanh nhà tù. Như vậy là đủ để biểu dương lực lượng vào lúc này.
adviser_food_troublesoon5				Tôi cũng muốn có một đội tuần tra xung quanh sân trong, nơi chúng ta sẽ xây dựng các khu chức năng mới. 
adviser_food_troublesoon6				Một điều cuối cùng. Do nhà ăn không hoạt động, một số thùng thức ăn đã bị ôi thiu. Hãy vứt bỏ chúng trước khi lũ sâu bọ phá hoại kéo đến.

objective_food_deployguards				Bố trí 10 cai ngục xung quanh nhà tù
objective_food_deploypatrol				Phân công 2 cai ngục tuần tra sân trong 

objective_food_deployguards_description		Để bố trí cai ngục, hãy mở màn hình Bố trí, sau đó nhấp vào bên trong một khu vực để tạo một Trạm trực. Một cai ngục sẽ tự động được phân công đến trạm đó.
objective_food_deploypatrol_description		Mở màn hình Bố trí, sau đó chọn Tuần tra. Nhấp và kéo để vẽ các tuyến đường tuần tra của bạn.\n\nĐể phân công cai ngục vào một tuyến tuần tra, hãy nhấp lại vào bất kỳ ô vuông nào trong tuyến tuần tra đó.

objective_food_dumpfood 				Vứt bỏ các loại thực phẩm ôi thiu
objective_food_dumpfood_description		Có thể tìm thấy thực phẩm bị ôi thiu trong tủ Kho, ở góc đông bắc của nhà tù.\n\nĐể vứt bỏ bất kỳ vật phẩm nào, hãy nhấp vào vật phẩm đó rồi nhấp vào 'Vứt bỏ' trong menu hiện lên.

adviser_food_doncantspeak1				...
adviser_food_doncantspeak2				eeugh .... ...

adviser_food_doninfirmary0              Tôi nghĩ lão ta đang cố nói điều gì đó.
adviser_food_doninfirmary1				Đứa nào trong lũ khốn nạn chúng mày đã làm việc này?
adviser_food_doninfirmary2 				Không ai làm việc này với bố đâu, bố già. Chỉ là một tai nạn thôi.
adviser_food_doninfirmary3 				Ngậm cái miệng thối của mày lại và nghe cho kỹ đây. Cả hai đứa mày. 
adviser_food_doninfirmary4 				Nếu tao biết đứa khốn kiếp nào trong tụi mày phóng hỏa, tao sẽ bẻ gãy cái cổ thối của mày!
adviser_food_doninfirmary5 				Nhưng thời của tao hết rồi. Tao sẽ chết trên cái giường chết tiệt này.
adviser_food_doninfirmary6 				Và còn việc kinh doanh của gia đình phải điều hành nữa. Cái tên Palermo là tất cả những gì chúng ta còn lại. Nên lũ khốn nạn dơ bẩn chúng mày hãy làm việc cho ra dáng đi. Hiểu chưa?
adviser_food_doninfirmary7				Chúng con biết phải làm gì rồi, bố già.
adviser_food_donchat13					Chuyện này chưa kết thúc đâu, Nico.
adviser_food_donchat14					Coi chừng cái lưng chết tiệt của mày đấy.

adviser_food_founddrugs1				Bạn sẽ không tin nổi những gì tôi vừa được báo cáo đâu. 
adviser_food_founddrugs2				Người của chúng ta đang vứt bỏ một số thực phẩm cũ. Họ phát hiện ra các gói ma túy và chai rượu bia được giấu trong các thùng hàng.
adviser_food_founddrugs3				Chúng ta đã nghi ngờ gia đình Palermo buôn lậu vào cơ sở này từ lâu rồi, nhưng chưa bao giờ xác định được bằng cách nào.
adviser_food_founddrugs4 				Đúng là họa vô đơn chí.

adviser_food_rebuild1                   Chúng ta vẫn còn rất nhiều việc phải làm. Cần phải tập trung vào việc khôi phục lại nhà bếp và nhà ăn.
adviser_food_rebuild2                   Trước tiên, chúng ta cần xây dựng lại nhà bếp. Bạn sẽ phải lắp đặt một vài thiết bị và thuê một số đầu bếp.
adviser_food_rebuild3					Sau khi xong việc đó, hãy xây một nhà ăn mới.
adviser_food_rebuild4					Khi bạn hoàn thành tất cả những việc đó, các đầu bếp sẽ tự động bắt đầu chuẩn bị bữa ăn cho toàn bộ nhà tù.
adviser_food_rebuild5                   Nếu bất cứ lúc nào bạn không chắc phải làm gì, hãy thử rê chuột vào mục tiêu trong danh sách việc cần làm để xem một số gợi ý.

adviser_food_fightoutro1  				Tuyệt vời. Có vẻ như gia đình Palermo sắp hết thành viên rồi.

adviser_food_sprinklerintro1 			Chúng ta có thể đang gặp phải một vấn đề ma túy khá nghiêm trọng ở đây. Nhưng chúng ta chưa thể xử lý việc đó ngay được.
adviser_food_sprinklerintro2 			Nhà bếp và nhà ăn của chúng ta đã đi vào hoạt động. Các đầu bếp sẽ chuẩn bị thức ăn cho mọi người, điều này sẽ giúp xoa dịu tình hình.
adviser_food_sprinklers1                Tôi lo ngại rằng vụ hỏa hoạn rõ ràng là cố ý, và chúng ta không muốn điều đó lặp lại.
adviser_food_sprinklers2 				Lắp đặt hệ thống vòi phun nước phía trên nhà bếp và nhà ăn mới rồi kết nối chúng với đường ống nước chính.

adviser_food_explainneeds1 				Tất cả tù nhân đều có nhu cầu. Những nhu cầu đó ảnh hưởng trực tiếp đến hành vi của họ. Ngay lúc này, ai nấy đều đang đói cồn cào, và đó là lý do tại sao họ lại la hét ầm ĩ như vậy.
adviser_food_explainneeds2 				Ăn uống là một trong những nhu cầu ưu tiên hàng đầu của họ, nếu bạn phớt lờ nó thì bạn sẽ phải gánh chịu hậu quả. Một nhà tù chỉ cần thiếu vài bữa ăn là sẽ bùng nổ bạo loạn khắp nơi.
adviser_food_explainneeds3 				Bạn có thể theo dõi nhu cầu của tất cả tù nhân từ Báo cáo nhu cầu, thông thường bạn có thể truy cập qua biểu tượng Báo cáo ở góc dưới bên phải.
adviser_food_explainneeds4				Báo cáo này hiển thị nhu cầu tổng hợp của tất cả tù nhân. Màu đỏ có nghĩa là rất nhiều tù nhân đang tức giận vì nhu cầu cụ thể này không được đáp ứng.
adviser_food_explainneeds5 				Đúng như dự đoán, nhu cầu Ăn uống đang ở mức báo động đỏ với hầu hết mọi người. Nhưng những tù nhân này cũng đang rất chán nản (nhu cầu Giải trí), và nhà tù đang ở trong tình trạng khá tồi tàn, điều này phản ánh qua nhu cầu Môi trường và Quần áo của họ.
adviser_food_explainneeds6				Quyết định là ở bạn, với tư cách là kiến trúc sư nhà tù tại đây, bạn sẽ cố gắng đáp ứng nhu cầu nào trước. Bạn có thể lắp đặt tivi trong phòng giam của họ để họ giải khuây, và thuê một số Lao công để dọn dẹp nơi này.
adviser_food_explainneeds7				Hoặc bạn có thể phớt lờ hoàn toàn các nhu cầu của tù nhân, và dựa vào vũ lực để giữ nhà tù trong tầm kiểm soát.
adviser_food_explainneeds8 				Tôi sẽ để bạn tự quyết định.

objective_food_needs 					(TÙY CHỌN) Chăm sóc nhu cầu của các tù nhân
objective_food_handlefoodneed 			(TÙY CHỌN) Giải quyết nhu cầu Ăn uống của tù nhân 
objective_food_handleboredomneed		(TÙY CHỌN) Giải quyết nhu cầu giải trí của tù nhân 
objective_food_handleenvironmentneed	(TÙY CHỌN) Giải quyết nhu cầu môi trường của tù nhân

objective_food_needs_description 					Bạn có thể xem nhu cầu tổng thể của tất cả tù nhân bằng cách nhấp vào Báo cáo (dưới cùng bên phải màn hình), sau đó chọn Nhu cầu.\nBạn cũng có thể rê chuột vào một tù nhân và xem nhu cầu nào đang ảnh hưởng đến họ.\n\nNhu cầu không bao giờ có thể giải quyết dứt điểm hoàn toàn - đó luôn là một cuộc chiến liên tục.
objective_food_handlefoodneed_description 			Các đầu bếp của chúng ta sẽ chuẩn bị thức ăn cho mọi người, và tất cả tù nhân sẽ được ăn vào cuối giờ ăn tiếp theo.
objective_food_handleboredomneed_description 		Sự nhàm chán có thể được giải quyết khá hiệu quả bằng cách lắp đặt tivi trong phòng giam của mỗi người. Hoặc bạn có thể xây một phòng sinh hoạt rồi đặt vài chiếc tivi và bàn bi-a vào đó.\n\nBạn cũng có thể đặt tivi ở các phòng dùng chung như Nhà ăn.
objective_food_handleenvironmentneed_description 	Hãy thuê một số lao công và họ sẽ dần dần dọn dẹp sạch sẽ nơi này.

adviser_food_needssuccess1 				Bạn đã thể hiện một sự tận tụy đáng khâm phục trong việc chăm sóc các nhu cầu của tù nhân. Làm tốt lắm.
adviser_food_needssuccess2 				Có lẽ đến giờ bạn đã nhận ra rằng lời phàn nàn lớn nhất còn lại của các tù nhân là việc thiếu quần áo sạch. 
adviser_food_needssuccess3 				Nếu bạn cũng muốn chăm sóc nhu cầu này, bạn sẽ cần vận hành dịch vụ giặt ủi để cung cấp dần quần áo sạch cho toàn bộ tù nhân.
adviser_food_needssuccess4 				Hãy xây dựng một phòng giặt và thuê thêm lao công để bắt đầu cung cấp đồ giặt sạch cho tù nhân của chúng ta.

objective_food_laundry 					(TÙY CHỌN) Quần áo sạch
objective_food_buildlaundry 			(TÙY CHỌN) Xây dựng một Phòng giặt
objective_food_hirejanitors             (TÙY CHỌN) Thuê đủ lao công để vận hành phòng giặt của bạn
objective_food_handleclothingneed 		(TÙY CHỌN) Giải quyết nhu cầu quần áo của tù nhân

objective_food_buildkitchen             Xây dựng một Nhà bếp (khoảng 12 mét vuông)
objective_food_buildkitchencookers      Lắp đặt ít nhất bốn Bếp nấu
objective_food_buildkitchenfridges      Lắp đặt ít nhất bốn Tủ lạnh
objective_food_buildkitchensink         Lắp đặt một Bồn rửa
objective_food_buildkitchenbin	 		Đặt một Thùng rác trong Nhà bếp
objective_food_buildkitchenwatermains 	Kết nối Bồn rửa với đường ống nước chính
objective_food_buildkitchenfloor 		(TÙY CHỌN) Nâng cấp sàn nhà bếp

objective_food_buildkitchen_description		Trước tiên bạn sẽ cần phải xây dựng Nền móng.
objective_food_buildcanteen_description		Trước tiên bạn sẽ cần phải xây dựng Nền móng.

objective_Food_HireChefs				Thuê ít nhất 8 Đầu bếp
objective_food_CookMeals				(Tự động) Chuẩn bị bữa ăn cho tất cả tù nhân

objective_food_buildcanteen             Xây dựng một Nhà ăn (khoảng 20 mét vuông)
objective_food_buildservingtables        Lắp đặt hai Bàn phát đồ ăn
objective_food_buildcanteentables        Lắp đặt ít nhất sáu Bàn
objective_food_buildcanteenchairs        Lắp đặt hai Ghế dài xung quanh mỗi Bàn
objective_food_buildcanteenbin	 		Đặt một Thùng rác trong Nhà ăn
objective_food_buildcanteenfloor 		(TÙY CHỌN) Nâng cấp sàn Nhà ăn


objective_food_buildsprinklers          Lắp đặt hệ thống vòi phun nước mới
objective_food_buildsprinklers1         Lắp đặt một vài vòi phun nước trong Nhà bếp
objective_food_buildsprinklers2         Lắp đặt một vài vòi phun nước trong Nhà ăn
objective_food_connectwater             Kết nối vòi phun nước nhà bếp với đường ống nước chính
objective_food_connectwater2			Kết nối vòi phun nước nhà ăn với đường ống nước chính
